"ATCOCode","NaptanCode","PlateCode","CleardownCode","CommonName","CommonNameLang","ShortCommonName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","Bearing","NptgLocalityCode","LocalityName","ParentLocalityName","GrandParentLocalityName","Town","TownLang","Suburb","SuburbLang","LocalityCentre","GridType","Easting","Northing","Longitude","Latitude","StopType","BusStopType","TimingStatus","DefaultWaitTime","Notes","NotesLang","AdministrativeAreaCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification","Status"
"1400EB10061","esudjpda",,,"Eridge Road",,,,"Eridge Road",,"Selmeston Road",,,,"opp",,"N","E0010508","Upperton","Eastbourne",,,,,,0,"U",559387,101068,0.25981455552,50.7872796554,"BCT","CUS","OTH",,,,"079",2011-11-30 09:07:00,2011-11-30 09:07:00,0,"new","act"
"1400EB10063","esudjpat",,,"Selsfield Close",,,,"Selsfield Close",,"Westfield Road",,,,"adj",,"E","E0010508","Upperton","Eastbourne",,,,,,0,"U",559780,100811,0.26527366088,50.7848622832,"BCT","MKD","TIP",,,,"079",2011-11-30 09:29:00,2011-12-05 10:18:00,5,"rev","act"
"1400EB0095","esuadgwj",,,"Burton Road",,,,"Burton Road",,"King's Drive",,,,"opp",,"SE","E0010508","Upperton","Eastbourne",,,,,,0,"U",560189,100450,0.27091369175,50.7815057528,"BCT","MKD","TIP",,,,"079",2005-08-08 00:00:00,2017-01-17 10:43:00,2,"rev","act"
"1400EB0167","esuadmgp",,,"Highland Lodge",,,,"Highland Lodge",,"Carew Road",,,,"opp",,"SW","E0010508","Upperton","Eastbourne",,,,,,0,"U",560506,99933,0.27518104663,50.7767726714,"BCT","MKD","PPT",,,,"079",2005-08-08 00:00:00,2017-01-17 10:59:00,4,"rev","act"
"1400EB0097","esuadgwp",,,"King's Avenue",,,,"King's Avenue",,"King's Drive",,,,"opp",,"E","E0010508","Upperton","Eastbourne",,,,,,0,"U",560383,100376,0.2736310132,50.7807872451,"BCT","MKD","TIP",,,,"079",2005-08-08 00:00:00,2017-01-17 11:00:00,5,"rev","act"
"1400EB0025","esuadamj",,,"Long Acre Close",,,,"Willingdon Road",,"Eldon Road",,,,"adj",,"W","E0010508","Upperton","Eastbourne",,,,,,0,"U",559666,100273,0.26342431889,50.7800594359,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2010-08-20 12:07:00,2,"rev","act"
"1400EB0093","esuadgwd",,,"District General Hospital",,,,"District General Hospital",,"King's Drive",,,,"opp",,"N","E0010508","Upperton","Eastbourne",,,,,,0,"U",559911,100975,0.26720177142,50.786299823,"BCT","MKD","PTP",,,,"079",2005-08-08 00:00:00,2017-01-17 10:47:00,3,"rev","act"
"1400EB0094","esuadgwg",,,"District General Hospital",,,,"District General Hospital",,"King's Drive",,,,"adj",,"S","E0010508","Upperton","Eastbourne",,,,,,0,"U",559943,100923,0.26763274717,50.785823756,"BCT","MKD","PTP",,,,"079",2005-08-08 00:00:00,2017-01-17 10:47:00,3,"rev","act"
"1400EB0054","esuadgap",,,"Selwyn Road",,,,"Selwyn Road",,"Upperton Road",,,,"adj",,"SE","E0010508","Upperton","Eastbourne",,,,,,0,"U",559939,99785,0.26708137806,50.7755993253,"BCT","MKD","TIP",,,,"079",2005-08-08 00:00:00,2010-08-20 15:10:00,2,"rev","act"
"1400EB0101","esuadjaj",,,"St Clement's Court",,,,"St Clement's Court",,"Framfield Way",,,,"o/s",,"S","E0010508","Upperton","Eastbourne",,,,,,0,"U",559941,100768,0.26753700436,50.7844315515,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2017-01-17 11:06:00,4,"rev","act"
"1400EB75146","esuagjpt",,,"Enys Road",,,,"Carew Road",,"Enys Road",,,,"NE-bound",,"NE","E0010508","Upperton","Eastbourne",,,,,,0,"U",560876,99818,0.28037426676,50.7756369116,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2006-12-18 12:00:00,2,"rev","act"
"1400EB75129","esuagjmp",,,"District General Hospital Grounds",,,,"District General Hospital",,"Hospital Grounds",,,,"o/s",,"S","E0010508","Upperton","Eastbourne",,,,,,0,"U",560061,100881,0.26928705408,50.7854138266,"BCT","MKD","PPT",,,,"079",2005-08-08 00:00:00,2011-04-01 15:53:00,4,"rev","act"
"1400EB75151","esuagjtd",,,"Enys Road",,,,"Lewes Road",,"Enys Road",,,,"S-bound",,"S","E0010508","Upperton","Eastbourne",,,,,,0,"U",560942,99905,0.28134761263,50.7764003499,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2006-12-18 11:59:00,2,"rev","act"
"1400EB75195","esuagmaw",,,"Henleaze",,,,"Michel Grove",,"Upperton Road",,,,"adj",,"NW","E0010508","Upperton","Eastbourne",,,,,,0,"U",560345,99513,0.27271643989,50.7730432576,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2011-04-04 09:33:00,4,"rev","act"
"1400WE80769","esudawgd",,,"British Queen",,,,"British Queen",,"The Triangle",,,,"adj",,"N","E0010851","Lower Willingdon","Eastbourne",,,,,,0,"U",558600,103200,0.24957863701,50.8066526475,"BCT","MKD","OTH",,,,"079",2006-11-21 00:00:00,2006-11-21 00:00:00,0,"del","del"
"1400EB0437","esuagdga",,,"Thurrock Close",,,,"Thurrock Close",,"Eastbourne Road",,,,"adj",,"N","E0010851","Lower Willingdon","Eastbourne",,,,,,0,"U",558580,103563,0.24945171373,50.80991989,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2018-03-20 09:23:00,2,"rev","act"
"1400EB75177","esuagmad",,,"Arundel Road",,,,"Arundel Road",,"Carew Road",,,,"NW-bound",,"NW","E0010508","Upperton","Eastbourne",,,,,,0,"U",560793,99834,0.27920504334,50.7758036767,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2010-08-23 13:30:00,3,"rev","act"
"1400EB0166","esuadmgm",,,"St Anne's Road",,,,"The Old Vicarage",,"Carew Road",,,,"opp",,"E","E0010508","Upperton","Eastbourne",,,,,,0,"U",560312,99908,0.27242085571,50.7766016474,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2010-08-23 14:04:00,3,"rev","act"
"1400WE0160","esuawgpj",,,"Post Office",,,,"Co-Op",,"Coppice Avenue",,,,"adj",,"SE","E0010851","Lower Willingdon","Eastbourne",,,,,,0,"U",558452,103340,0.24754023961,50.8079510967,"BCT","MKD","PTP",,,,"079",2006-11-21 00:00:00,2015-07-09 15:03:00,4,"rev","act"
"1400EB0441","esuagdgp",,,"The Triangle",,,,"The British Queen",,"Eastbourne Road",,,,"opp",,"S","E0010851","Lower Willingdon","Eastbourne",,,,,,0,"U",558560,103257,0.24903600001,50.8071757667,"BCT","MKD","PTP",,,,"079",2006-11-21 00:00:00,2018-03-20 09:21:00,5,"rev","act"
"1400EB0186","esuadmtd",,,"The Hawthorns",,,,"The Hawthorns",,"Carew Road",,,,"adj",,"SE","E0010508","Upperton","Eastbourne",,,,,,0,"U",560974,99719,0.28171974835,50.7747201829,"BCT","MKD","TIP",,,,"079",2005-08-08 00:00:00,2010-08-23 13:22:00,2,"rev","act"
"1400EB0187","esuadmtg",,,"The Hawthorns",,,,"The Hawthorns",,"Carew Road",,,,"opp",,"NW","E0010508","Upperton","Eastbourne",,,,,,0,"U",560937,99726,0.28119848387,50.7747933405,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2010-08-23 13:25:00,2,"rev","act"
"1400EB0169","esuadmgw",,,"Arundel Road",,,,"Mill Gap Road",,"Carew Road",,,,"SE-bound",,"SE","E0010508","Upperton","Eastbourne",,,,,,0,"U",560743,99902,0.2785261775,50.7764285369,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2006-12-08 17:22:00,1,"rev","act"
"1400EB0164","esuadmgd",,,"Prideaux Road",,,,"Prideaux Road",,"Mill Road",,,,"adj",,"SE","E0010508","Upperton","Eastbourne",,,,,,0,"U",560120,100025,0.26975080833,50.7777059501,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2010-08-23 13:13:00,3,"rev","act"
"1400EB0168","esuadmgt",,,"Highland Lodge",,,,"Highland Lodge",,"Carew Road",,,,"adj",,"E","E0010508","Upperton","Eastbourne",,,,,,0,"U",560525,99956,0.27546033981,50.7769740832,"BCT","MKD","PPT",,,,"079",2005-08-08 00:00:00,2010-08-23 13:20:00,2,"rev","act"
"1400EB0090","esuadgtp",,,"Park Avenue",,,,"Park Avenue",,"King's Drive",,,,"adj",,"N","E0010508","Upperton","Eastbourne",,,,,,0,"U",559780,101479,0.26556385966,50.7908646178,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2017-01-17 11:13:00,4,"rev","act"
"1400WE0161","esuawgpm",,,"Post Office",,,,"Co-Op",,"Coppice Avenue",,,,"opp",,"NW","E0010851","Lower Willingdon","Eastbourne",,,,,,0,"U",558430,103349,0.24723213148,50.8080379792,"BCT","MKD","PTP",,,,"079",2006-11-21 00:00:00,2018-03-20 09:18:00,3,"rev","act"
"1400WE0164","esuawgta",,,"Broad Road",,,,"Broad Road",,"Coppice Avenue",,,,"NW-bound",,"NW","E0010851","Lower Willingdon","Eastbourne",,,,,,0,"U",558073,103730,0.2423333246,50.8115589487,"BCT","MKD","TIP",,,,"079",2006-11-21 00:00:00,2018-03-20 09:12:00,6,"rev","act"
"1400EB0091","esuadgtw",,,"Selmeston Road",,,,"Colleges",,"King's Drive",,,,"opp",,"S","E0010508","Upperton","Eastbourne",,,,,,0,"U",559824,101368,0.26613936112,50.789855105,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2017-01-17 11:15:00,6,"rev","act"
"1400EB0098","esuadgwt",,,"King's Avenue",,,,"King's Avenue",,"King's Drive",,,,"adj",,"W","E0010508","Upperton","Eastbourne",,,,,,0,"U",560430,100363,0.27429146917,50.7806574433,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2017-01-17 11:00:00,5,"rev","act"
"1400WE0159","esuawgpg",,,"The Triangle",,,,"The British Queen",,"The Triangle",,,,"adj",,"N","E0010851","Lower Willingdon","Eastbourne",,,,,,0,"U",558506,103302,0.2482896361,50.8075948837,"BCT","MKD","PTP",,,,"079",2006-11-21 00:00:00,2018-03-20 09:22:00,5,"rev","act"
"1400EB0137","esuadjtg",,,"Henfield Road",,,,"Henfield Road",,"Brodrick Road",,,,"adj",,"W","E0010851","Lower Willingdon","Eastbourne",,,,,,0,"U",560163,102799,0.27156835704,50.8026198434,"BCT","MKD","OTH",,,,"079",2006-11-21 00:00:00,2018-03-20 08:57:00,2,"del","del"
"1400EB0092","esuadgwa",,,"Selmeston Road",,,,"Colleges",,"King's Drive",,,,"adj",,"N","E0010508","Upperton","Eastbourne",,,,,,0,"U",559819,101292,0.26603545494,50.7891735826,"BCT","MKD","TIP",,,,"079",2005-08-08 00:00:00,2017-01-17 11:15:00,3,"rev","act"
"1400EB10062","esudjpdg",,,"St Clement's Court",,,,"St Clement's Court",,"Framfield Way",,,,"opp",,"N","E0010508","Upperton","Eastbourne",,,,,,0,"U",559939,100720,0.26748778728,50.7840007976,"BCT","MKD","OTH",,,,"079",2011-11-30 09:20:00,2017-01-17 11:06:00,2,"rev","act"
"1400EB0138","esuadjtj",,,"Henfield Road",,,,"Henfield Road",,"Brodrick Road",,,,"opp",,"E","E0010851","Lower Willingdon","Eastbourne",,,,,,0,"U",560135,102813,0.27117743205,50.8027533726,"BCT","MKD","OTH",,,,"079",2006-11-21 00:00:00,2018-03-20 08:57:00,2,"del","del"
"1400EB0139","esuadjtm",,,"Lindfield Road",,,,"Lindfield Road",,"Brodrick Road",,,,"opp",,"E","E0010851","Lower Willingdon","Eastbourne",,,,,,0,"U",559800,102714,0.26638422775,50.8019562183,"BCT","MKD","OTH",,,,"079",2006-11-21 00:00:00,2018-03-20 08:57:00,3,"del","del"
